county,county_fips,state_fips
Arkansas,05001,05
Ashley,05003,05
Baxter,05005,05
Benton,05007,05
Boone,05009,05
Bradley,05011,05
Calhoun,05013,05
Carroll,05015,05
Chicot,05017,05
Clark,05019,05
Clay,05021,05
Cleburne,05023,05
Cleveland,05025,05
Columbia,05027,05
Conway,05029,05
Craighead,05031,05
Crawford,05033,05
Crittenden,05035,05
Cross,05037,05
Dallas,05039,05
Desha,05041,05
Drew,05043,05
Faulkner,05045,05
Franklin,05047,05
Fulton,05049,05
Garland,05051,05
Grant,05053,05
Greene,05055,05
Hempstead,05057,05
Hot Spring,05059,05
Howard,05061,05
Independence,05063,05
Izard,05065,05
Jackson,05067,05
Jefferson,05069,05
Johnson,05071,05
Lafayette,05073,05
Lawrence,05075,05
Lee,05077,05
Lincoln,05079,05
Little River,05081,05
Logan,05083,05
Lonoke,05085,05
Madison,05087,05
Marion,05089,05
Miller,05091,05
Mississippi,05093,05
Monroe,05095,05
Montgomery,05097,05
Nevada,05099,05
Newton,05101,05
Ouachita,05103,05
Perry,05105,05
Phillips,05107,05
Pike,05109,05
Poinsett,05111,05
Polk,05113,05
Pope,05115,05
Prairie,05117,05
Pulaski,05119,05
Randolph,05121,05
Saline,05125,05
Scott,05127,05
Searcy,05129,05
Sebastian,05131,05
Sevier,05133,05
Sharp,05135,05
St. Francis,05123,05
Stone,05137,05
Union,05139,05
Van Buren,05141,05
Washington,05143,05
White,05145,05
Woodruff,05147,05
Yell,05149,05
