structure_number,county,county_fips,owner_code,owner,facility_carried,feature_intersected,location,route_prefix,route_number,functional_class,lat,lon,coord_note,year_built,year_reconstructed,age_yrs,material,structure_type_code,service_under,over_water,n_main_spans,structure_len_m,deck_width_m,adt,adt_year,deck_cond,superstructure_cond,substructure_cond,culvert_cond,channel_cond,waterway_adequacy,scour_critical,condition,lowest_rating,fhwa_condition,condition_color,work_proposed_code,work_proposed,replacement_proposed,year_of_improvement,improvement_cost_k,inspection_date,nbi_year,parse_notes
000000000000335,Boone,009,2,County Highway Agency,CR 607 Boone,ROLANDS FORK,AT BEAR CREEK SPRINGS,4,,09,36.298358,-93.185317,,1928,,96,Concrete,04,Waterway,1,2,18.3,8.2,155,2018,7,7,6,,7,8,8,Fair,6,Fair,#f9a825,,,0,,,522,2024,
000000000000452,Boone,009,2,County Highway Agency,CR 607 Boone,ROLANDS FORK,0.45 N OF US 65 JCT,4,,09,36.298103,-93.187850,,1928,,96,Concrete,04,Waterway,1,2,21.3,8.2,155,2018,7,7,6,,7,8,8,Fair,6,Fair,#f9a825,,,0,,,522,2024,
000000000000305,Calhoun,013,1,State Highway Agency,US 167B SEC4BLM0.8,TURNERS CREEK,0.50 MI SO OF THORNTON,2,,07,33.768250,-92.485169,,1927,,97,Concrete,04,Waterway,1,1,7.9,6.9,210,2018,7,7,7,,7,7,5,Good,7,Good,#2e7d32,,,0,,,622,2024,
000000000000657,Clark,019,1,State Highway Agency,US 67 S-6 LM 7.39,DE ROCHE CREEK,AT HOT SPRING CO LINE,2,,07,34.206069,-93.027497,,1929,1956,95,Concrete,11,Waterway,1,1,70.1,9.4,1700,2018,5,5,5,,7,8,8,Fair,5,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,580,1022,2024,
000000000000431,Clay,021,1,State Highway Agency,US 67-20- LM 10.39,Cypress Creek,West city limits  Corning,2,,02,36.411381,-90.597861,,1928,1954,96,Concrete,04,Waterway,1,1,12.6,10.2,7389,2018,7,6,7,,6,8,5,Fair,6,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,743,223,2024,
000000000000432,Clay,021,1,State Highway Agency,US 67-20- LM 9.50,MIDDLE CREEK,1.5 MI W OF CORNING,2,,02,36.411533,-90.613953,,1928,1954,96,Concrete,04,Waterway,1,1,12.6,10.2,7300,2018,7,7,6,,6,8,5,Fair,6,Fair,#f9a825,,,0,,,223,2024,
000000000000433,Clay,021,1,State Highway Agency,US  67-20- LM 8.40,OAK CR,2.5 MI W OF CORNING  ARK,2,,02,36.411653,-90.633597,,1928,1954,96,Concrete,04,Waterway,1,2,18.3,10.2,6666,2018,7,7,5,,5,8,5,Fair,5,Fair,#f9a825,,,0,,,223,2024,
000000000000434,Clay,021,1,State Highway Agency,US 67 Sec. 20,MURRAY CREEK,3.75 MI W OF CORNING  ARK,2,,02,36.411719,-90.654983,,1928,1954,96,Concrete,04,Waterway,1,1,10.7,10.2,6666,2018,7,7,7,,6,8,5,Good,7,Good,#2e7d32,,,0,,,523,2024,
000000000000461,Cleveland,025,1,State Highway Agency,SH 35 S-5 LM 15.92,BLAKEY CREEK,4.56 MI W  JCT US 63,3,,07,33.820983,-92.026292,,1927,,97,Concrete,04,Waterway,1,2,19.2,7.0,550,2018,5,5,5,,7,8,5,Fair,5,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,265,522,2024,
000000000000542,Cleveland,025,1,State Highway Agency,US63 S-15 LM 24.73,SALINE RELIEF,1.13 MI NO OF BRADLEY CO.,2,,06,33.718128,-92.012208,,1929,1994,95,Concrete,04,Relief for waterway,1,3,32.6,14.8,2400,2018,7,7,7,,8,8,5,Good,7,Good,#2e7d32,31,Replacement because of substandard load capacity or structural condition,1,,468,622,2024,
000000000000543,Cleveland,025,1,State Highway Agency,US63 S-15 LM 25.06,SALINE RELIEF,0.80 MI N OF BRADLEY CO.,2,,06,33.714308,-92.015039,,1929,1994,95,Concrete,04,Relief for waterway,1,5,53.9,14.8,2400,2018,7,6,6,,8,8,5,Fair,6,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,615,622,2024,
000000000000544,Cleveland,025,1,State Highway Agency,US 63 S-15 LM25.7,SALINE RELIEF,0.16 MI NO OF BRADLEY CO.,2,,06,33.706611,-92.020942,,1929,1994,95,Concrete,04,Relief for waterway,1,5,53.9,14.8,2400,2018,7,7,7,,8,8,5,Good,7,Good,#2e7d32,31,Replacement because of substandard load capacity or structural condition,1,,615,622,2024,
000000000000411,Crawford,033,1,State Highway Agency,US Hwy 64-Crawford,Little Mulberry Creek,9.50 E JCT HWY 71,2,,07,35.510258,-94.071517,,1928,1961,96,Concrete,04,Waterway,1,9,96.0,9.6,3001,2018,6,5,4,,6,8,8,Poor,4,Poor,#c62828,,,0,,,823,2024,
000000000000412,Crawford,033,1,State Highway Agency,US Highway 64,Miller Creek-Crawford Co,11.5 E JCT US 71,2,,07,35.502442,-94.039581,,1929,1961,95,Concrete,04,Waterway,1,11,117.3,9.6,1900,2018,6,6,5,,7,8,8,Fair,5,Fair,#f9a825,,,0,,,1223,2024,
000000000000413,Crawford,033,1,State Highway Agency,US 64-Crawford Co.,Big Mulberry River,1 MI E JCT 215 IN MULBERY,2,,07,35.501664,-94.033867,,1929,1961,95,Concrete,11,Waterway,1,3,105.5,9.6,1810,2017,6,4,4,,8,8,8,Poor,4,Poor,#c62828,35,Widening with deck rehabilitation,0,,489,523,2024,
000000000000450,Crawford,033,1,State Highway Agency,US71-Crawford Co.,Clear Creek,3.02 N JCT HWYS 71 & 282,2,,06,35.652533,-94.161414,,1928,1959,96,Concrete continuous,04,Waterway,1,6,92.0,13.1,2400,2018,5,5,6,,7,8,8,Fair,5,Fair,#f9a825,,,0,,,1223,2024,
000000000000451,Crawford,033,1,State Highway Agency,US 71-Crawford Co,Pidgeon Creek,0.40 SO JCT 71 & 282,2,,06,35.618886,-94.172189,,1928,1959,96,Concrete,04,Waterway,1,1,12.8,15.5,2100,2018,6,6,6,,7,8,8,Fair,6,Fair,#f9a825,,,0,,,1223,2024,
000000000000609,Crawford,033,1,State Highway Agency,US 71 Crawford Co.,Clear Creek Relief,2.95 N JCT HWYS 71 & 282,2,,06,35.651672,-94.160942,,1928,1959,96,Concrete continuous,04,Waterway,1,4,44.2,13.1,2399,2018,5,5,6,,8,8,8,Fair,5,Fair,#f9a825,,,0,,,1223,2024,
000000000000511,Cross,037,1,State Highway Agency,Us-64/Sec-15/L1.04,Drainage Ditch,.3 Miles East Jct Us 49,2,,06,35.251861,-91.022461,,1961,,63,Concrete,01,Waterway,1,3,22.9,9.6,3300,2018,7,7,7,,5,8,5,Good,7,Good,#2e7d32,,,0,,,1223,2024,
000000000000512,Cross,037,1,State Highway Agency,Us-64/Sec-15/L2.50,Drainage Canal,1.85 Miles East Jct Us 49,2,,06,35.251881,-90.996719,,1963,,61,Concrete,01,Waterway,1,3,22.9,9.6,3300,2018,7,7,7,,7,9,5,Good,7,Good,#2e7d32,,,0,,,1223,2024,
000000000000513,Cross,037,1,State Highway Agency,Us-64/Sec-15/L-4.2,Drainage Canal,3.2 Mi W Of Jct Sh 193 No,2,,06,35.251389,-90.966597,,1963,,61,Concrete,01,Waterway,1,3,22.9,9.6,3300,2018,7,7,6,,7,9,5,Fair,6,Fair,#f9a825,,,0,,,1223,2024,
000000000000515,Cross,037,1,State Highway Agency,Us-64/Sec-15/L6.51,Brushy Creek,3.91 Mi W Of Jct Sh 193 N,2,,06,35.251642,-90.925750,,1963,,61,Concrete,01,Waterway,1,8,73.2,10.2,4000,2018,6,6,5,,7,8,5,Fair,5,Fair,#f9a825,,,0,,,622,2024,
000000000000516,Cross,037,1,State Highway Agency,Us-64/Sec-15/L6.65,Brushy Creek Re.,0.4 Mi W Of Sh 193 N Jct,2,,06,35.251622,-90.923308,,1963,,61,Concrete,01,Waterway,1,5,45.7,10.2,3999,2018,6,6,5,,8,8,5,Fair,5,Fair,#f9a825,,,0,,,622,2024,
000000000000517,Cross,037,1,State Highway Agency,Us-64/Sec-15/L-7.4,Languille Relief,6.55 Mi W Of Jct Sh 1 No,2,,06,35.251642,-90.910150,,1963,,61,Concrete,01,Waterway,1,5,45.7,10.2,3900,2018,7,7,5,,8,8,5,Fair,5,Fair,#f9a825,,,0,,,622,2024,
000000000000518,Cross,037,1,State Highway Agency,Us-64/Sec-15/L7.61,Languille Relief,6.35 Mi W Of Jct Sh 1 No,2,,06,35.251678,-90.906325,,1963,,61,Concrete,01,Waterway,1,6,54.9,9.6,3900,2018,7,7,6,,8,8,5,Fair,6,Fair,#f9a825,,,0,,,622,2024,
000000000000519,Cross,037,1,State Highway Agency,Us-64/Sec-15/L7.76,Languille River,6.2 Mi W Of Jct Sh 1 No,2,,06,35.251689,-90.903411,,1963,,61,Steel,02,Waterway,1,1,53.3,9.6,3900,2018,7,7,7,,8,8,5,Good,7,Good,#2e7d32,,,0,,,622,2024,
