county,bridges,good,fair,poor,unrated,poor_pct,over_water,poor_over_water,state_owned,work_proposed,replacement_proposed,state_owned_poor,median_age_yrs
Arkansas,154,67,83,4,0,2.6,153,4,74,24,18,3,36
Ashley,106,67,38,1,0,0.9,105,1,71,6,3,1,38
Baxter,91,57,34,0,0,0.0,90,0,35,8,6,0,36
Benton,410,201,193,16,0,3.9,353,16,191,34,24,8,29
Boone,98,53,42,3,0,3.1,96,3,56,15,14,1,55
Bradley,105,61,40,4,0,3.8,104,4,50,4,2,0,32
Calhoun,114,62,46,6,0,5.3,110,6,59,6,6,1,40
Carroll,119,56,60,3,0,2.5,119,3,69,28,21,3,42
Chicot,88,36,44,8,0,9.1,88,8,56,15,11,5,56
Clark,202,87,109,6,0,3.0,189,5,113,41,35,3,57
Clay,200,87,94,19,0,9.5,200,19,85,15,12,7,28
Cleburne,53,22,28,3,0,5.7,53,3,28,8,7,1,52
Cleveland,79,38,37,4,0,5.1,77,4,61,12,9,3,57
Columbia,131,71,57,3,0,2.3,130,3,74,17,13,2,32
Conway,122,65,57,0,0,0.0,114,0,76,15,10,0,48
Craighead,442,291,137,14,0,3.2,407,12,172,28,22,8,28
Crawford,248,55,174,19,0,7.7,204,12,176,55,34,12,52
Crittenden,235,95,122,18,0,7.7,199,18,161,45,35,4,43
Cross,129,49,65,15,0,11.6,129,15,93,9,5,10,51
Dallas,103,58,40,5,0,4.9,99,4,83,15,13,4,39
Desha,83,46,33,4,0,4.8,81,3,51,15,11,3,34
Drew,149,81,62,6,0,4.0,147,6,88,11,9,3,37
Faulkner,219,124,92,3,0,1.4,196,2,126,25,20,2,38
Franklin,143,36,94,13,0,9.1,133,13,83,32,28,4,56
Fulton,105,41,51,13,0,12.4,104,13,67,21,15,7,55
Garland,319,138,178,3,0,0.9,286,3,174,95,82,0,49
Grant,119,82,35,2,0,1.7,119,2,98,17,11,2,44
Greene,251,128,115,8,0,3.2,249,8,103,24,17,5,27
Hempstead,174,73,95,6,0,3.4,153,6,131,35,26,5,52
Hot Spring,222,49,162,11,0,5.0,202,6,127,84,65,7,57
Howard,116,47,65,4,0,3.4,115,4,60,16,14,2,45
Independence,184,72,96,16,0,8.7,180,16,98,32,20,3,47
Izard,105,36,50,19,0,18.1,104,19,42,26,17,9,38
Jackson,136,67,58,11,0,8.1,119,11,108,10,6,10,38
Jefferson,336,231,88,17,0,5.1,280,17,152,47,26,4,29
Johnson,162,75,84,3,0,1.9,147,3,108,27,24,3,55
Lafayette,72,45,25,2,0,2.8,72,2,47,4,3,1,33
Lawrence,126,70,45,11,0,8.7,111,11,99,21,20,11,44
Lee,94,36,46,12,0,12.8,92,12,54,22,16,9,45
Lincoln,110,63,43,4,0,3.6,108,4,59,10,7,3,34
Little River,83,45,32,6,0,7.2,82,6,49,12,6,4,46
Logan,152,29,110,13,0,8.6,152,13,81,54,17,5,58
Lonoke,187,104,74,9,0,4.8,173,6,139,41,28,5,37
Madison,149,33,93,23,0,15.4,149,23,92,26,22,8,46
Marion,65,29,33,3,0,4.6,63,3,39,22,18,2,64
Miller,216,139,71,6,0,2.8,158,6,165,17,7,3,26
Mississippi,309,174,106,29,0,9.4,282,26,182,40,29,25,39
Monroe,85,47,32,6,0,7.1,77,5,76,9,9,6,48
Montgomery,199,80,115,4,0,2.0,199,4,88,44,28,1,48
Nevada,133,51,76,6,0,4.5,126,6,101,15,6,3,52
Newton,65,31,32,2,0,3.1,65,2,41,10,7,2,47
Ouachita,162,56,96,10,0,6.2,149,10,90,32,29,2,49
Perry,118,71,45,2,0,1.7,118,2,80,13,12,0,56
Phillips,101,38,41,22,0,21.8,99,20,60,12,12,9,47
Pike,95,35,57,3,0,3.2,94,3,62,9,8,3,49
Poinsett,194,81,82,31,0,16.0,179,31,123,36,30,19,43
Polk,221,46,147,28,0,12.7,219,28,102,81,73,5,71
Pope,188,74,112,2,0,1.1,169,2,99,32,22,1,46
Prairie,88,35,44,9,0,10.2,81,9,65,20,12,7,54
Pulaski,721,355,349,17,0,2.4,524,5,380,159,121,16,45
Randolph,151,59,87,5,0,3.3,151,5,84,19,17,5,44
Saline,231,131,91,9,0,3.9,210,7,101,34,25,3,27
Scott,198,53,132,13,0,6.6,198,13,123,23,17,10,52
Searcy,65,27,36,2,0,3.1,64,2,44,9,7,0,49
Sebastian,331,114,198,19,0,5.7,295,17,137,43,37,10,39
Sevier,164,91,62,11,0,6.7,162,11,71,33,24,9,44
Sharp,110,42,62,6,0,5.5,110,6,54,20,18,3,49
St. Francis,202,70,119,13,0,6.4,169,12,151,25,19,8,52
Stone,73,29,35,9,0,12.3,73,9,54,10,10,8,53
Union,289,211,75,3,0,1.0,263,2,124,17,9,3,24
Van Buren,98,44,47,7,0,7.1,98,7,48,23,18,3,41
Washington,449,100,318,31,0,6.9,412,31,175,74,32,8,38
White,322,142,163,17,0,5.3,293,17,217,38,32,13,48
Woodruff,79,32,41,6,0,7.6,79,6,63,3,2,6,48
Yell,227,124,100,3,0,1.3,225,3,128,39,32,2,52
