year,index,kind,source
1913,100,anchor,ENR CCI base year (1913=100)
1915,93,anchor,ENR CCI annual average
1920,251,anchor,ENR CCI annual average
1925,207,anchor,ENR CCI annual average
1930,203,anchor,ENR CCI annual average
1935,196,anchor,ENR CCI annual average
1940,242,anchor,ENR CCI annual average
1945,308,anchor,ENR CCI annual average
1950,510,anchor,ENR CCI annual average
1955,660,anchor,ENR CCI annual average
1960,824,anchor,ENR CCI annual average
1965,971,anchor,ENR CCI annual average
1970,1381,anchor,ENR CCI annual average
1975,2212,anchor,ENR CCI annual average
1980,3237,anchor,ENR CCI annual average
1985,4195,anchor,ENR CCI annual average
1990,4732,anchor,ENR CCI annual average
1995,5471,anchor,ENR CCI annual average
2000,6221,anchor,ENR CCI annual average
2005,7446,anchor,ENR CCI annual average
2010,8802,anchor,ENR CCI annual average
2015,10035,anchor,ENR CCI annual average
2018,11062,anchor,ENR CCI annual average
2020,11466,anchor,ENR CCI annual average
2021,12010,anchor,ENR CCI annual average
2022,12983,anchor,ENR CCI annual average
2023,13415,anchor,ENR CCI annual average
2024,13906,anchor,ENR CCI annual average
2025,14300,projected,extrapolated -- not an ENR publication
2026,14700,projected,extrapolated -- not an ENR publication
